Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Toyota,Fortuner,145000.0,Manual,second,Diesel,9
Maruti Suzuki,Alto-K10,12.0,Automatic,first,hybrid,5
Ford,Endeavour,71000.0,Automatic,second,Diesel,5
Maruti Suzuki,Baleno,32000.0,Manual,first,Petrol,8
Maruti Suzuki,Wagon-R,78000.0,Manual,first,Hybrid/CNG,9
Maruti Suzuki,Eeco,28000.0,Manual,first,Hybrid/CNG,5
Hyundai,Venue,25619.0,Automatic,second,Petrol,7
Maruti Suzuki,Alto-K10,450000.0,Automatic,first,Petrol,11
Hyundai,i20,125000.0,Manual,first,Diesel,14
Maruti Suzuki,Dzire,1234.0,Manual,first,Hybrid/CNG,3
Hyundai,Verna,38000.0,Automatic,second,Petrol,9
Ford,Endeavour,68800.0,Automatic,first,Diesel,5
Maruti Suzuki,Ertiga,42132.0,Manual,first,hybrid,6
Hyundai,Santro Xing,81000.0,Manual,second,Petrol,18
Toyota,Innova Crysta,24000.0,Automatic,first,Diesel,5
Mahindra,Imperio,10.0,Automatic,second,Diesel,12
Hyundai,Santro,32000.0,Automatic,second,Petrol,8
Honda,Civic,115000.0,Manual,first,Petrol,17
Mahindra,Five-door Thar,45.0,Automatic,first,Diesel,2
Hyundai,i20 Active,62000.0,Manual,second,Diesel,11
Maruti Suzuki,Alto-K10,84000.0,Manual,second,Petrol,9
Maruti Suzuki,Wagon-R-1-0,2010.0,Automatic,first,hybrid,16
Hyundai,Eon,25.0,Automatic,second,hybrid,10
Hyundai,Grand i10,87000.0,Manual,first,hybrid,7
Maruti Suzuki,Wagon-R,140000.0,Automatic,second,hybrid,16
Hyundai,Xcent,72000.0,Automatic,second,hybrid,12
Mini,Cooper Convertible,28000.0,Automatic,second,Petrol,8
Jaguar,XJ,33000.0,Automatic,second,Diesel,10
BMW,3 Series GT,75000.0,Automatic,second,Diesel,10
Maruti Suzuki,Eeco,12000.0,Manual,first,Petrol,2
Lexus,RX,130000.0,Automatic,first,Hybrid/CNG,8
Hyundai,i10,35000.0,Manual,first,Petrol,16
Maruti Suzuki,Alto-800,93000.0,Automatic,second,hybrid,14
MG,Hector,17000.0,Automatic,first,Petrol,7
Hyundai,Aura,10000.0,Automatic,first,hybrid,2
Volvo,XC40,35000.0,Automatic,second,Petrol,6
Audi,A6,95000.0,Automatic,first,Diesel,10
Hyundai,Creta,50000.0,Manual,first,Petrol,7
Hyundai,Eon,64000.0,Manual,first,Petrol,13
Maruti Suzuki,Vitara-Brezza,94000.0,Manual,second,Diesel,9
Ford,Ecosport,75000.0,Manual,first,Diesel,5
Maruti Suzuki,maruti-suzuki-dzire,70000.0,Manual,second,Petrol,13
BMW,X1,69382.0,Automatic,second,Diesel,13
